image_path,race
FairFace/train\Black\1001.jpg,Black
FairFace/train\Black\10010.jpg,Black
FairFace/train\Black\10011.jpg,Black
FairFace/train\Black\1002.jpg,Black
FairFace/train\Black\10020.jpg,Black
FairFace/train\Black\10021.jpg,Black
FairFace/train\Black\10022.jpg,Black
FairFace/train\Black\10032.jpg,Black
FairFace/train\Black\10034.jpg,Black
FairFace/train\Black\10041.jpg,Black
FairFace/train\Black\10047.jpg,Black
FairFace/train\Black\10048.jpg,Black
FairFace/train\Black\10050.jpg,Black
FairFace/train\Black\10053.jpg,Black
FairFace/train\Black\10056.jpg,Black
FairFace/train\Black\10060.jpg,Black
FairFace/train\Black\10063.jpg,Black
FairFace/train\Black\10064.jpg,Black
FairFace/train\Black\10069.jpg,Black
FairFace/train\Black\1007.jpg,Black
FairFace/train\Black\10071.jpg,Black
FairFace/train\Black\10074.jpg,Black
FairFace/train\Black\10078.jpg,Black
FairFace/train\Black\10080.jpg,Black
FairFace/train\Black\10090.jpg,Black
FairFace/train\Black\10094.jpg,Black
FairFace/train\Black\10097.jpg,Black
FairFace/train\Black\10098.jpg,Black
FairFace/train\Black\10102.jpg,Black
FairFace/train\Black\1012.jpg,Black
FairFace/train\Black\10126.jpg,Black
FairFace/train\Black\10128.jpg,Black
FairFace/train\Black\10129.jpg,Black
FairFace/train\Black\10132.jpg,Black
FairFace/train\Black\10136.jpg,Black
FairFace/train\Black\10141.jpg,Black
FairFace/train\Black\10145.jpg,Black
FairFace/train\Black\10148.jpg,Black
FairFace/train\Black\10168.jpg,Black
FairFace/train\Black\10173.jpg,Black
FairFace/train\Black\10199.jpg,Black
FairFace/train\Black\1020.jpg,Black
FairFace/train\Black\10200.jpg,Black
FairFace/train\Black\10214.jpg,Black
FairFace/train\Black\10216.jpg,Black
FairFace/train\Black\10217.jpg,Black
FairFace/train\Black\10245.jpg,Black
FairFace/train\Black\1025.jpg,Black
FairFace/train\Black\10260.jpg,Black
FairFace/train\Black\10282.jpg,Black
FairFace/train\Black\1029.jpg,Black
FairFace/train\Black\10290.jpg,Black
FairFace/train\Black\10294.jpg,Black
FairFace/train\Black\10297.jpg,Black
FairFace/train\Black\10335.jpg,Black
FairFace/train\Black\10341.jpg,Black
FairFace/train\Black\10343.jpg,Black
FairFace/train\Black\10345.jpg,Black
FairFace/train\Black\10353.jpg,Black
FairFace/train\Black\10359.jpg,Black
FairFace/train\Black\10360.jpg,Black
FairFace/train\Black\10367.jpg,Black
FairFace/train\Black\10369.jpg,Black
FairFace/train\Black\10372.jpg,Black
FairFace/train\Black\10386.jpg,Black
FairFace/train\Black\10394.jpg,Black
FairFace/train\Black\10398.jpg,Black
FairFace/train\Black\10399.jpg,Black
FairFace/train\Black\10404.jpg,Black
FairFace/train\Black\10424.jpg,Black
FairFace/train\Black\10429.jpg,Black
FairFace/train\Black\1044.jpg,Black
FairFace/train\Black\10445.jpg,Black
FairFace/train\Black\10494.jpg,Black
FairFace/train\Black\10499.jpg,Black
FairFace/train\Black\1050.jpg,Black
FairFace/train\Black\10500.jpg,Black
FairFace/train\Black\10521.jpg,Black
FairFace/train\Black\10522.jpg,Black
FairFace/train\Black\10527.jpg,Black
FairFace/train\Black\10534.jpg,Black
FairFace/train\Black\10545.jpg,Black
FairFace/train\Black\10551.jpg,Black
FairFace/train\Black\10563.jpg,Black
FairFace/train\Black\10570.jpg,Black
FairFace/train\Black\10573.jpg,Black
FairFace/train\Black\10574.jpg,Black
FairFace/train\Black\10576.jpg,Black
FairFace/train\Black\10577.jpg,Black
FairFace/train\Black\1059.jpg,Black
FairFace/train\Black\106.jpg,Black
FairFace/train\Black\10600.jpg,Black
FairFace/train\Black\10605.jpg,Black
FairFace/train\Black\10606.jpg,Black
FairFace/train\Black\10617.jpg,Black
FairFace/train\Black\10627.jpg,Black
FairFace/train\Black\10639.jpg,Black
FairFace/train\Black\10647.jpg,Black
FairFace/train\Black\10652.jpg,Black
FairFace/train\Black\10655.jpg,Black
FairFace/train\Black\10656.jpg,Black
FairFace/train\Black\10662.jpg,Black
FairFace/train\Black\10663.jpg,Black
FairFace/train\Black\10667.jpg,Black
FairFace/train\Black\10678.jpg,Black
FairFace/train\Black\1068.jpg,Black
FairFace/train\Black\10698.jpg,Black
FairFace/train\Black\10701.jpg,Black
FairFace/train\Black\1071.jpg,Black
FairFace/train\Black\10711.jpg,Black
FairFace/train\Black\10715.jpg,Black
FairFace/train\Black\10721.jpg,Black
FairFace/train\Black\10725.jpg,Black
FairFace/train\Black\10726.jpg,Black
FairFace/train\Black\10735.jpg,Black
FairFace/train\Black\10736.jpg,Black
FairFace/train\Black\10739.jpg,Black
FairFace/train\Black\10750.jpg,Black
FairFace/train\Black\10752.jpg,Black
FairFace/train\Black\10767.jpg,Black
FairFace/train\Black\10768.jpg,Black
FairFace/train\Black\10772.jpg,Black
FairFace/train\Black\10785.jpg,Black
FairFace/train\Black\1079.jpg,Black
